lloc,scloc,calculated_length,volume,difficulty,effort,time,bugs,long_method
54,49,144.6257298,284.8979191,6.3,1794.85689,99.71427169,0.094965973,1
63,63,244.9390249,402.1173001,2.790697674,1122.187814,62.34376745,0.1340391,1
81,85,246.1288162,381.8002694,3.75,1431.75101,79.54172279,0.127266756,1
60,67,231.2692727,364.5550891,2.682926829,978.0746293,54.33747941,0.121518363,1
63,75,156.3912239,251.3348678,3.413793103,858.0052385,47.66695769,0.083778289,1
100,118,576.6587689,1081.507161,5.11627907,5533.292449,307.4051361,0.360502387,1
64,62,133.8210731,322.0227602,4.134615385,1331.440258,73.96890325,0.10734092,1
87,77,344.8633601,531.9779132,3.6875,1961.668555,108.9815864,0.177325971,1
224,208,1017.197915,2052.984508,9.470588235,19442.97093,1080.165052,0.684328169,1
118,127,404.7945276,1299.863157,13.18032787,17132.6226,951.8123666,0.433287719,1
495,435,2051.527349,5203.712453,14.47389558,75317.99069,4184.332816,1.734570818,1
131,125,808.7339706,1439.518636,6.522123894,9388.718893,521.5954941,0.479839545,1
49,45,103.8483064,192.7180284,3.095238095,596.5081833,33.13934352,0.064239343,1
86,81,419.9832329,763.762764,5.538461538,4230.070693,235.0039274,0.254587588,1
45,42,166.8582023,265.6821216,3.966666667,1053.872416,58.54846755,0.088560707,1
144,96,1161.018564,2688.707608,7.580645161,20382.13832,1132.341018,0.896235869,1
48,54,158.6059378,232.6466251,4.142857143,963.8217324,53.5456518,0.077548875,1
317,305,1968.319191,3634.851532,6.12704918,22270.9141,1237.273006,1.211617177,1
67,67,378.4134357,773.1077808,5.6,4329.403573,240.5224207,0.257702594,1
113,111,861.0597302,1526,3.56557377,5441.065574,302.2814208,0.508666667,1
127,132,130.2114327,225.7169674,2.384615385,538.248153,29.90267517,0.075238989,1
137,93,415.4539078,940.8533329,6.030769231,5674.069331,315.2260739,0.313617778,1
149,145,304.085226,676.5039507,9.70212766,6563.527692,364.6404273,0.225501317,1
155,153,786.4237513,1257.054088,4.25,5342.479876,296.8044375,0.419018029,1
46,46,290.6305574,485.6342159,3.428571429,1665.031597,92.50175542,0.161878072,1
96,89,276.575451,481.1453182,3.510638298,1689.127181,93.84039894,0.160381773,1
66,64,133.8210731,237.8014229,2.980769231,708.8311644,39.37950913,0.079267141,1
69,70,201.685802,480.4299824,11.9516129,5741.913177,318.9951765,0.160143327,1
95,98,340.7961684,734.7288732,11.85,8706.537147,483.6965082,0.244909624,1
77,80,327.3474402,785.953913,9.058823529,7119.8178,395.5454333,0.261984638,1
70,73,75.60964047,149.3387924,3.4375,513.3520988,28.51956104,0.049779597,1
47,47,93.4868683,176.4665352,5.647058824,996.5169047,55.36205026,0.058822178,1
89,87,395.1816562,1073.56695,12.44915254,13364.99873,742.4999293,0.35785565,1
53,53,144.6257298,437.5218043,10.08,4410.219788,245.0122104,0.145840601,1
13,13,20.26466251,28.52932501,1.5,42.79398752,2.377443751,0.009509775,1
77,77,174.1007298,491.5424064,10.34482759,5084.921445,282.4956358,0.163847469,1
44,42,316.1839164,705.7577432,10.5625,7454.566162,414.1425646,0.235252581,1
44,42,274.5830481,583.9173311,10.21428571,5964.298453,331.3499141,0.19463911,1
42,42,52.86060384,108,2.076923077,224.3076923,12.46153846,0.036,1
44,45,100.3621072,155.1145107,3.868421053,600.0482388,33.33601326,0.051704837,1
56,69,300.4363582,558.8510897,9.333333333,5215.943504,289.7746391,0.186283697,1
58,71,110.4385619,153.8353575,4.2,646.1085015,35.89491675,0.051278453,1
95,112,885.288168,2670.981714,13.37603306,35727.1397,1984.841095,0.890327238,1
29,53,20.26466251,34.86917502,1.75,61.02105628,3.390058682,0.011623058,1
53,53,109.7171361,228.2346001,3.636363636,829.9440004,46.10800002,0.0760782,1
44,41,33.28421252,64.52932501,2,129.05865,7.169925001,0.021509775,1
53,75,169.4107739,278.1401582,5.275862069,1467.429111,81.52383948,0.092713386,1
50,47,208.0542306,464.0516876,7.2,3341.172151,185.620675,0.154683896,1
86,88,190.4650059,407.1739524,5.939393939,2418.366505,134.3536947,0.135724651,1
87,109,654.1850999,1853.131763,10.64893617,19733.88186,1096.32677,0.617710588,1
52,52,171.2067179,346.3632159,5.733333333,1985.815771,110.3230984,0.115454405,1
36,40,74.11313394,114.200253,3.2,365.4408096,20.3022672,0.038066751,1
20,51,19.65148445,54,0.857142857,46.28571429,2.571428571,0.018,1
62,70,21.65148445,253.5940001,5.857142857,1485.336286,82.51868258,0.084531333,1
72,76,426.0794602,900.370738,5.014925373,4515.292059,250.8495589,0.300123579,1
36,40,70.21299941,172.8771238,4.333333333,749.1342031,41.61856684,0.057625708,1
42,46,156.3912239,359.0498112,4.75862069,1708.58186,94.92121445,0.11968327,1
69,76,329.6421463,559.6944532,6.057692308,3390.456784,188.3587102,0.186564818,1
47,44,61.30296891,150.1173001,3.428571429,514.6878859,28.59377144,0.0500391,1
60,54,320.2465573,913.33355,11,10046.66905,558.1482805,0.304444517,1
35,42,162.7164929,325.7052751,4.2,1367.962155,75.99789752,0.108568425,1
149,143,140.0964047,272.3972824,5.76,1569.008347,87.16713038,0.090799094,1
48,79,209.4845559,356.9704513,7.818181818,2790.859892,155.0477718,0.11899015,1
98,157,389.2118756,1135.2662,17.42857143,19786.06806,1099.226003,0.378422067,1
38,47,156.9112876,320.5353501,6.5,2083.479776,115.7488764,0.106845117,1
50,51,264.5310796,555.6082841,8.380952381,4656.526571,258.6959206,0.185202761,1
50,52,285.1871371,685.2678808,9.533333333,6532.88713,362.9381739,0.228422627,1
42,67,115.6515655,201.9089067,2.717391304,548.6655074,30.48141708,0.067302969,1
95,100,528.9864174,1242.988776,14.01351351,17418.64001,967.702223,0.414329592,1
81,84,485.4881875,1217.784278,14.14492754,17225.47037,956.9705758,0.405928093,1
92,101,951.5629552,2391.397026,13.66929134,32688.70266,1816.039037,0.797132342,1
48,62,365.6940118,746.1289704,6.842105263,5105.092956,283.6162753,0.248709657,1
111,87,1314.720008,3618.757017,8.011560694,28991.89147,1610.660637,1.206252339,1
72,74,264.2149912,387.6299008,4.090909091,1585.758685,88.09770473,0.129209967,1
42,41,54.62919048,89.92418251,2.916666667,262.2788656,14.57104809,0.029974728,1
67,64,92.32026323,146.7188,2.763157895,405.4072106,22.52262281,0.048906267,1
48,41,28.52932501,59.79470571,0.666666667,39.86313714,2.21461873,0.019931569,1
47,45,0,8,2,16,0.888888889,0.002666667,1
45,54,237.4749933,404.2591088,6.802631579,2750.025779,152.77921,0.134753036,1
77,96,452.2329808,923.0015019,10.28787879,9495.727572,527.5404207,0.307667167,1
60,66,238.1282645,445.864639,10.92857143,4872.663555,270.7035308,0.148621546,1
61,60,268.7443162,486.8732386,5.727272727,2788.455821,154.9142123,0.16229108,1
67,62,293.5179601,609.2300235,10.65909091,6493.838205,360.7687892,0.203076674,1
43,50,769.9495685,1424.707111,4.981818182,7097.63179,394.3128772,0.47490237,1
68,67,356.882753,770.3933272,11.09433962,8547.005215,474.833623,0.256797776,1
51,45,198.0537478,461.2325041,9.453125,4360.088516,242.2271398,0.153744168,1
79,82,335.4957784,732,11.34,8300.88,461.16,0.244,1
77,83,334.4766131,621.637112,7.298076923,4536.755462,252.0419701,0.207212371,1
46,45,104.7106228,209.2150501,6.105263158,1277.312937,70.96182986,0.06973835,1
62,61,97.21928095,197.4184682,8.4375,1665.718325,92.53990695,0.065806156,1
85,84,347.8970514,791.8156296,12.5,9897.69537,549.871965,0.263938543,1
63,70,188.9871652,415.2084416,10.98275862,4560.134091,253.3407828,0.138402814,1
73,74,188.529325,375.0286403,6.328125,2373.228115,131.8460064,0.125009547,1
73,74,158.6059378,377.4045251,6.428571429,2426.171947,134.7873304,0.125801508,1
50,57,211.030886,537.2002107,4.342105263,2332.579862,129.5877701,0.179066737,1
94,97,255.0066568,567.2425342,7.071428571,4011.215063,222.8452813,0.189080845,1
51,59,244.720659,470.8113034,11.45833333,5394.712851,299.7062695,0.156937101,1
53,54,292.1375978,606.6205615,8.369565217,5077.150351,282.0639084,0.202206854,1
47,61,143.258381,279.8104563,7.291666667,2040.284577,113.3491432,0.093270152,1
53,76,255.8966738,473.1364966,8.1,3832.405623,212.9114235,0.157712166,1
53,54,198.0537478,303.8708263,6.359375,1932.428536,107.3571409,0.101290275,1
66,81,198.0537478,368.9860033,7.734375,2853.876119,158.5486733,0.122995334,1
112,116,551.301648,1412.458303,12.2278481,17271.32558,959.5180878,0.470819434,1
101,106,457.5333708,843.2000504,10,8432.000504,468.4444724,0.281066683,1
75,82,337.3994088,600,8.411764706,5047.058824,280.3921569,0.2,1
115,122,561.6335666,1173.271404,9.388888889,11015.71485,611.9841585,0.391090468,1
98,104,698.7949046,1899.252023,14.3814433,27313.98528,1517.443627,0.633084008,1
56,57,324.9521904,753.2036419,7.269230769,5475.211089,304.1783938,0.251067881,1
68,67,388.8116557,1209.487842,7.451612903,9012.635213,500.7019563,0.403162614,1
82,88,339.4424154,834,10.61538462,8853.230769,491.8461538,0.278,1
61,63,118.7643706,255.158311,9.552631579,2437.433339,135.4129633,0.08505277,1
45,79,111.8901503,177.8721321,4,711.4885285,39.52714047,0.059290711,1
155,172,1038.953596,2165.502389,12.90441176,27944.53451,1552.474139,0.72183413,1
72,78,243.6596322,381.8002694,4.195121951,1601.698691,88.98326062,0.127266756,1
52,52,332.3132424,860.728309,11.29411765,9721.166784,540.0648213,0.286909436,1
50,57,81.09650878,138.2423802,2.941176471,406.5952358,22.58862421,0.046080793,1
63,63,235.7693245,527.7827253,9.891891892,5220.769662,290.042759,0.175927575,1
189,194,870.7552388,2391.740746,13.53813559,32379.71052,1798.872807,0.797246915,1
78,96,472.7639251,1014.376,6.625,6720.241003,373.3467224,0.338125333,1
39,45,135.7478892,260,4.76,1237.6,68.75555556,0.086666667,1
61,64,323.2264987,512.0608827,7.56122449,3871.807286,215.1004048,0.170686961,1
31,38,106.0900464,175.9308376,4.2,738.9095178,41.05052877,0.058643613,1
46,48,268.7443162,532.6966023,6.340909091,3377.780728,187.6544849,0.177565534,1
77,75,246.0964047,457.1523514,6.375,2914.34624,161.9081244,0.152384117,1
68,72,369.3672841,757.4570326,11.38888889,8626.593983,479.2552213,0.252485678,1
58,68,689.5255863,1692.046081,8.333333333,14100.38401,783.3546672,0.56401536,1
52,62,688.385619,1668.457213,6.56,10945.07932,608.0599621,0.556152404,1
41,46,393.1601712,962.2974337,6.709677419,6456.705361,358.7058534,0.320765811,1
45,51,517.862041,1343.561777,10.73684211,14425.61065,801.4228142,0.447853926,1
41,45,291.9327434,609.2300235,12.03488372,7332.012492,407.3340273,0.203076674,1
55,57,475.9148441,1041.94774,13.57462687,14144.05178,785.7806546,0.347315913,1
68,70,325.2123595,744.2745388,9.84,7323.661462,406.8700812,0.248091513,1
78,84,311.09775,998.2645107,14,13975.70315,776.4279527,0.332754837,1
57,57,276.3489345,555.0105325,8.930232558,4956.373127,275.3540626,0.185003511,1
154,154,707.2150501,2111.363014,18.09375,38202.47454,2122.359697,0.703787671,1
46,45,408,1178.455675,7.875,9280.338443,515.5743579,0.392818558,1
64,54,225.9690555,677.6598399,10.81081081,7326.052323,407.0029068,0.225886613,1
45,49,104.7106228,213.9699376,5.894736842,1261.296474,70.07202635,0.071323313,1
68,62,264.2149912,524.4404541,5.636363636,2955.937105,164.218728,0.174813485,1
55,63,197.7269405,316.0955683,2.708333333,856.0921641,47.56067578,0.105365189,1
62,64,270.1306865,491.4155756,11.48717949,5644.97892,313.60994,0.163805192,1
46,41,67.01955001,159.9113395,7.666666667,1225.986936,68.11038535,0.05330378,1
69,73,164.8814489,291.7293885,4.965517241,1448.587308,80.47707268,0.097243129,1
62,73,259.6966127,456.0351775,6.30952381,2877.36481,159.8536006,0.152011726,1
87,102,255.0066568,504.8458554,6.321428571,3191.347015,177.2970564,0.168281952,1
54,65,84.99664331,135.7068587,3.529411765,478.9653836,26.60918798,0.04523562,1
10,13,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
91,92,427.7635302,896.1504753,11.25,10081.69285,560.0940471,0.298716825,1
167,177,1177.688486,2967.752654,13.05194805,38734.95347,2151.941859,0.989250885,1
177,182,1154.987951,3127.016719,12.94078947,40466.06504,2248.114724,1.042338906,1
181,192,637.5697476,1628.206852,12.6,20515.40633,1139.744796,0.542735617,1
45,57,137.7212077,280,4.153846154,1163.076923,64.61538462,0.093333333,1
67,79,611.8607967,1203.877192,4.653846154,5602.659238,311.2588466,0.401292397,1
59,60,96.99355338,160.4736875,1.642857143,263.6353438,14.64640799,0.053491229,1
72,55,3838.438141,7689.414739,3.970183486,30528.38742,1696.021523,2.563138246,1
48,78,197.504662,351.2472543,1.783783784,626.5491563,34.80828646,0.117082418,1
50,41,66.60335893,178.4129556,3.333333333,594.7098519,33.03943622,0.059470985,1
5,195,27.65148445,93.4046537,5.142857143,480.3667905,26.68704392,0.031134885,1
16,66,840.4365119,2375.332441,4.25,10095.16287,560.8423819,0.79177748,1
48,50,54.62919048,568.1573349,15,8522.360024,473.4644458,0.189385778,1
40,41,46.05374781,164.089405,4.363636364,716.0264946,39.7792497,0.054696468,1
39,42,746.3788491,1817.364964,8.20754717,14916.10866,828.6727036,0.605788321,1
57,51,595.6783189,1647.062751,11.58139535,19075.28489,1059.738049,0.549020917,1
43,41,169.4107739,299.1318683,5.896551724,1763.846534,97.99147409,0.099710623,1
45,53,241.4064488,516.5533057,6.8625,3544.84706,196.9359478,0.172184435,1
47,50,651.8078845,1825.414644,6.635416667,12112.38675,672.9103751,0.608471548,1
41,45,501.8710135,956.2559147,3.205128205,3064.922804,170.2734891,0.318751972,1
106,108,366.0805006,754.8453923,9.572727273,7225.929074,401.4405041,0.251615131,1
55,55,91.35671671,283.2752276,15.71428571,4451.467862,247.3037701,0.094425076,1
44,46,174.1007298,359.4073509,7.75862069,2788.505309,154.9169616,0.11980245,1
28,119,587.9499158,1730.411457,4.943820225,8554.843157,475.2690643,0.576803819,1
43,49,133.8210731,297.2517786,3.75,1114.69417,61.92745388,0.099083926,1
7,45,19.65148445,54,0.642857143,34.71428571,1.928571429,0.018,1
42,44,2,6.339850003,0.5,3.169925001,0.176106945,0.002113283,1
43,47,2,6.339850003,0.5,3.169925001,0.176106945,0.002113283,1
70,87,8,18.57542476,0.5,9.28771238,0.515984021,0.006191808,1
9,71,12.7548875,67.37651813,10.66666667,718.68286,39.92682556,0.022458839,1
53,53,39.509775,76.14709844,4.875,371.2171049,20.62317249,0.025382366,1
39,66,26,39.86313714,1,39.86313714,2.21461873,0.013287712,1
49,49,24,38.03910002,0.5,19.01955001,1.056641667,0.0126797,1
68,68,156.3912239,461.6354715,6.103448276,2817.568223,156.5315679,0.153878491,1
51,51,83.05865003,254.1876023,4.222222222,1073.236543,59.62425238,0.084729201,1
51,47,124.0964047,364.3485746,4,1457.394299,80.96634992,0.121449525,1
37,42,68.7548875,106.1981878,1.5,159.2972818,8.849848986,0.035399396,1
21,20,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
15,16,13.60964047,22.45883938,1,22.45883938,1.247713299,0.00748628,0
9,20,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
17,17,49.66338828,72,2.5,180,10,0.024,0
6,9,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
20,20,27.65148445,51.89147428,2.857142857,148.2613551,8.236741949,0.017297158,0
6,7,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
7,7,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
6,6,6.754887502,13.93156857,1.333333333,18.57542476,1.031968042,0.004643856,0
9,9,6.754887502,13.93156857,1.333333333,18.57542476,1.031968042,0.004643856,0
6,5,10,15.509775,1,15.509775,0.861654167,0.005169925,0
22,22,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
5,5,6.754887502,11.60964047,1,11.60964047,0.644980026,0.00386988,0
7,7,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
14,15,33.28421252,60.94436251,1.833333333,111.7313313,6.207296182,0.020314788,0
25,25,52.86060384,108,2.076923077,224.3076923,12.46153846,0.036,0
13,14,51.01955001,80,2.166666667,173.3333333,9.62962963,0.026666667,0
6,6,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
8,7,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
5,4,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
7,6,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
8,8,6.754887502,11.60964047,1,11.60964047,0.644980026,0.00386988,0
3,2,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,4,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
7,8,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
5,4,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
5,4,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
22,21,88,201.73835,7.25,1462.603038,81.25572432,0.067246117,0
7,8,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
39,39,16.36452798,24,1.5,36,2,0.008,0
23,26,88.71062276,189.9896022,2.947368421,559.9693537,31.10940854,0.063329867,0
3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
13,12,8,13.93156857,0.5,6.965784285,0.386988016,0.004643856,0
10,8,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
14,12,10,15.509775,1,15.509775,0.861654167,0.005169925,0
12,12,0,2,0.5,1,0.055555556,0.000666667,0
30,30,193.2192809,291.1851408,5.46875,1592.418739,88.46770772,0.097061714,0
34,34,70.21299941,146.9455552,3.666666667,538.8003692,29.93335384,0.048981852,0
9,12,6.754887502,11.60964047,1,11.60964047,0.644980026,0.00386988,0
7,7,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
22,28,63.61549134,101.9502603,3.692307692,376.4317304,20.91287391,0.03398342,0
30,33,40.13896549,57.11032383,2.5,142.7758096,7.931989421,0.019036775,0
11,10,12.7548875,22.45883938,1.875,42.11032383,2.339462435,0.00748628,0
10,9,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
14,14,23.509775,33.21928095,2,66.4385619,3.691031217,0.011073094,0
48,56,74.11313394,101.0233007,3,303.0699022,16.83721679,0.033674434,0
8,8,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
14,14,32,64.52932501,3,193.587975,10.7548875,0.021509775,0
8,7,20.26466251,28.52932501,1.5,42.79398752,2.377443751,0.009509775,0
43,49,37.97416845,59.20703549,1.5,88.81055324,4.933919624,0.019735678,0
10,9,10,15.509775,1,15.509775,0.861654167,0.005169925,0
18,52,32,50.18947501,2.25,112.9263188,6.273684376,0.016729825,0
11,25,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
13,18,28.7548875,55.3509059,1.875,103.7829486,5.765719364,0.018450302,0
29,28,67.75720079,112.3701305,4.576923077,514.3094433,28.57274685,0.03745671,0
22,24,16.36452798,24,1.5,36,2,0.008,0
35,36,75.60964047,131.7695227,3.125,411.7797584,22.87665324,0.043923174,0
37,40,117.7589801,199.1772208,4.295454545,855.5566984,47.53092769,0.066392407,0
18,18,17.509775,36,1.333333333,48,2.666666667,0.012,0
13,13,17.509775,27,1,27,1.5,0.009,0
18,58,2,14.26466251,1.5,21.39699376,1.188721876,0.004754888,0
25,25,106.0900464,180.6857251,4.375,790.5000472,43.91666929,0.060228575,0
5,5,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
9,9,16.36452798,24,1.5,36,2,0.008,0
15,16,27.65148445,51.89147428,2.857142857,148.2613551,8.236741949,0.017297158,0
26,28,40.13896549,91.37651813,4.444444444,406.1178584,22.56210324,0.030458839,0
9,9,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
10,10,32,64.52932501,3,193.587975,10.7548875,0.021509775,0
35,31,41.21928095,102.7985829,3.6,370.0748984,20.55971658,0.034266194,0
9,9,13.60964047,22.45883938,1,22.45883938,1.247713299,0.00748628,0
6,5,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
18,21,61.30296891,91.73835003,2,183.4767001,10.19315,0.03057945,0
12,12,28.7548875,55.3509059,1.875,103.7829486,5.765719364,0.018450302,0
12,12,41.21928095,72.33974352,2.4,173.6153844,9.645299136,0.024113248,0
21,21,83.05865003,120.4046537,2,240.8093074,13.37829486,0.040134885,0
19,17,0,8,2,16,0.888888889,0.002666667,0
36,32,24.40637196,36.54120904,1.5,54.81181357,3.045100754,0.012180403,0
85,111,20.26466251,41.20902502,2,82.41805004,4.578780558,0.013736342,0
15,17,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
7,9,13.60964047,25.2661943,1.2,30.31943316,1.684412953,0.008422065,0
47,40,13.60964047,28.07354922,1.2,33.68825906,1.871569948,0.00935785,0
34,29,20.26466251,41.20902502,2,82.41805004,4.578780558,0.013736342,0
224,235,837.5528205,2103.368177,12.82894737,26983.99963,1499.111091,0.701122726,0
21,20,0,2,0.5,1,0.055555556,0.000666667,0
83,69,17.509775,111,3.333333333,370,20.55555556,0.037,0
49,52,10,15.509775,1,15.509775,0.861654167,0.005169925,0
29,78,24.40637196,69.76048999,2.571428571,179.3841171,9.965784285,0.023253497,0
47,50,96.22039776,195.04196,4.105263158,800.6985725,44.48325403,0.065013987,0
35,36,54.62919048,102.186571,3.125,319.3330345,17.74072414,0.03406219,0
13,12,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
11,10,68.81274391,151.2674833,4.928571429,745.5325964,41.41847758,0.050422494,0
11,10,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
7,6,10,15.509775,1,15.509775,0.861654167,0.005169925,0
6,6,0,2,0.5,1,0.055555556,0.000666667,0
6,6,0,2,0.5,1,0.055555556,0.000666667,0
6,6,0,2,0.5,1,0.055555556,0.000666667,0
28,33,30.52932501,48.43204266,1,48.43204266,2.690669037,0.016144014,0
17,17,40.13896549,64.72503367,3.055555556,197.7709362,10.98727423,0.021575011,0
17,18,40.13896549,64.72503367,3.055555556,197.7709362,10.98727423,0.021575011,0
17,18,40.13896549,64.72503367,3.055555556,197.7709362,10.98727423,0.021575011,0
17,18,40.13896549,64.72503367,3.055555556,197.7709362,10.98727423,0.021575011,0
7,6,0,2,0.5,1,0.055555556,0.000666667,0
24,20,0,16,4,64,3.555555556,0.005333333,0
24,37,0,12,3,36,2,0.004,0
7,6,0,2,0.5,1,0.055555556,0.000666667,0
24,22,0,16,4,64,3.555555556,0.005333333,0
24,30,0,12,3,36,2,0.004,0
7,6,0,2,0.5,1,0.055555556,0.000666667,0
24,22,0,16,4,64,3.555555556,0.005333333,0
24,30,0,12,3,36,2,0.004,0
21,22,40.13896549,64.72503367,3.055555556,197.7709362,10.98727423,0.021575011,0
20,17,0,6,1.5,9,0.5,0.002,0
13,23,0,14,3.5,49,2.722222222,0.004666667,0
38,47,13.60964047,42.11032383,1.6,67.37651813,3.743139896,0.014036775,0
24,25,26,49.82892142,1.25,62.28615178,3.460341766,0.01660964,0
30,32,50.10571634,117.2067179,1.538461538,180.3180275,10.01766819,0.039068906,0
25,28,63.35824644,271.0451251,4,1084.1805,60.23225002,0.090348375,0
9,16,30.52932501,79.56692723,1.666666667,132.6115454,7.367308077,0.026522309,0
9,9,8,13.93156857,0.5,6.965784285,0.386988016,0.004643856,0
11,16,74.2417558,138.301699,1.852941176,256.2649129,14.23693961,0.046100566,0
7,9,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
4,5,10,15.509775,1,15.509775,0.861654167,0.005169925,0
13,16,8,13.93156857,0.5,6.965784285,0.386988016,0.004643856,0
12,9,0,2,0.5,1,0.055555556,0.000666667,0
30,27,0,8,2,16,0.888888889,0.002666667,0
20,23,27.65148445,38.05374781,2,76.10749561,4.228194201,0.012684583,0
9,13,6.754887502,11.60964047,1,11.60964047,0.644980026,0.00386988,0
22,21,6.754887502,11.60964047,1,11.60964047,0.644980026,0.00386988,0
6,10,4.754887502,12,0.666666667,8,0.444444444,0.004,0
15,23,11.60964047,31.01955001,0.8,24.81564001,1.378646667,0.01033985,0
24,40,60.60335893,171.6734393,1.866666667,320.4570868,17.80317149,0.05722448,0
33,36,88.71062276,275.9372793,4,1103.749117,61.3193954,0.091979093,0
33,32,0,6,1.5,9,0.5,0.002,0
18,23,10,15.509775,1,15.509775,0.861654167,0.005169925,0
8,12,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
5,9,0,6,1.5,9,0.5,0.002,0
29,38,26,73.08241809,1.625,118.7589294,6.5977183,0.024360806,0
22,30,20.26466251,69.73835003,3.25,226.6496376,12.59164653,0.023246117,0
9,11,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,0
11,13,81.09650878,160.5395383,3.529411765,566.6101351,31.47834084,0.053513179,0
36,52,146.2155783,322.8412236,3.75,1210.654589,67.25858826,0.107613741,0
76,97,66.60335893,140.1816079,2.933333333,411.1993833,22.84441018,0.046727203,0
26,25,104.7106228,142.6466251,4.210526316,600.6173687,33.36763159,0.047548875,0
6,6,4.754887502,12,0.666666667,8,0.444444444,0.004,0
